Weeks,Passenger Journeys
Week 01,549533
Week 02,839022
Week 03,819359
Week 04,860745
Week 05,912795
Week 06,912612
Week 07,940476
Week 08,952291
Week 09,929391
Week 10,941919
Week 11,924998
Week 12,868205
Week 13,1003871
Week 14,933575
Week 15,945662
Week 16,842186
Week 17,801296
Week 18,919255
Week 19,817933
Week 20,904983
Week 21,902415
Week 22,973025
Week 23,826269
Week 24,925516
Week 25,883208
Week 26,905636
Week 27,982288
Week 28,919158
Week 29,903958
Week 30,926491
Week 31,832452
Week 32,807393
Week 33,868677
Week 34,862939
Week 35,897355
Week 36,933362
Week 37,969818
Week 38,990123
Week 39,1031937
Week 40,986159
Week 41,1054749
Week 42,1014017
Week 43,1028522
Week 44,924586
Week 45,1019705
Week 46,1038825
Week 47,1062275
Week 48,1113668
Week 49,1080791
Week 50,1151098
Week 51,1173473
Week 52,538511
