Date,Journeys
2015 January,4136
2015 February,8553
2015 March,18818
2015 April,24286
2015 May,23938
2015 June,27135
2015 July,27344
2015 August,25051
2015 September,33609
2015 October,36875
2015 November,31419
2015 December,18215
2016 January,18494
2016 February,23278
2016 March,23764
2016 April,26318
2016 May,25748
2016 June,23058
2016 July,22334
2016 August,21924
2016 Spetember,27178
2016 October,32652
2016 November,28045
2016 December,18381
2017 January,19625
2017 February,22124
2017 March,26234
2017 April,24432
2017 May,25360
2017 June,21445
2017 July,24317
2017 August,23491
2017 September,24574
2017 October,27865
2017 November,27615
2017 December,16247
2018 January,17048
2018 February,19876
2018 March,18689
2018 April,21122
2018 May,22024
2018 June,21326
2018 July,23645
2018 August,22125
2018 September,26384
2018 October,33470
2018 November,28169
2018 December,17703
2019 January,20873
2019 February,21128
2019 March,22833
2019 April,20905
2019 May,22666
2019 June,19466
2019 July,22605
2019 August,19504
2019 September,21264
2019 October,20472
2019 November,17346
2019 December,12002
2020 January,13665
2020 February,13608
2020 March,7726
2020 April,2563
2020 May,5430
2020 June,6004
2020 July,7147
2020 August,6192
2020 September,6658
2020 October,5197
2020 November,4045
2020 December,3269
2021 January,1695
2021 February,1457
2021 March,3065
2021 Arpil,4504
2021 May,3760
2021 June,4698
2021 July,5175
2021 August,5287
2021 September,5473
2021 October,6377
2021 November,7961
2021 December,5163
2022 January,5972
2022 February,6864
2022 March,8726
2022 April,9271
2022 May,10748
2022 June,10256
2022 July,11093
2022 August,11945
2022 September,11482
2022 October,9996
2022 November,7890
2022 December,5457
